87,Kelowna International Airport,Canada,49.9561004639,-119.377998352
88,Mayo Airport,Canada,63.61640167236328,-135.8679962158203
89,Moose Jaw Air Vice Marshal C. M. McEwen Airport,Canada,50.330299377441406,-105.55899810791016
90,Fort McMurray Airport,Canada,56.653301239,-111.222000122
91,Moosonee Airport,Canada,51.29109954833984,-80.60780334472656
92,Maniwaki Airport,Canada,46.2728004456,-75.9906005859
93,Montreal International (Mirabel) Airport,Canada,45.679501,-74.038696
94,Natashquan Airport,Canada,50.18999862670898,-61.78919982910156
95,Ottawa / Gatineau Airport,Canada,45.5217018127,-75.5635986328
96,Matagami Airport,Canada,49.76169967651367,-77.80280303955078
97,Old Crow Airport,Canada,67.57060241699219,-139.83900451660156
98,CFB Cold Lake,Canada,54.40499877929688,-110.27899932861328
99,High Level Airport,Canada,58.62139892578125,-117.16500091552734
100,Ottawa Macdonald-Cartier International Airport,Canada,45.3224983215332,-75.66919708251953
101,Prince Albert Glass Field,Canada,53.2141990662,-105.672996521
102,Peace River Airport,Canada,56.226898,-117.446999
103,Southport Airport,Canada,49.903099,-98.273817
104,Pitt Meadows Airport,Canada,49.21609878540039,-122.70999908447266
105,Pickle Lake Airport,Canada,51.4463996887207,-90.21420288085938
106,Port Menier Airport,Canada,49.83639907836914,-64.2885971069336
107,Peterborough Airport,Canada,44.22999954223633,-78.36329650878906
108,Prince Rupert Airport,Canada,54.2860984802,-130.445007324
109,Fort Chipewyan Airport,Canada,58.7672004699707,-111.11699676513672
110,Muskoka Airport,Canada,44.974700927734375,-79.30329895019531
111,Quebec Jean Lesage International Airport,Canada,46.7911,-71.393303
112,Red Deer Regional Airport,Canada,52.18220138549805,-113.8939971923828
113,Windsor Airport,Canada,42.27560043334961,-82.95559692382812
114,Watson Lake Airport,Canada,60.11640167236328,-128.82200622558594
115,Kenora Airport,Canada,49.78829956054688,-94.36309814453124
116,Lethbridge County Airport,Canada,49.6302986145,-112.800003052
117,Greater Moncton International Airport,Canada,46.11220169067383,-64.67859649658203
119,Comox Airport,Canada,49.71080017089844,-124.88700103759766
120,Regina International Airport,Canada,50.43190002441406,-104.66600036621094
121,Thunder Bay Airport,Canada,48.37189865112305,-89.32389831542969
122,Grande Prairie Airport,Canada,55.1796989441,-118.885002136
123,Yorkton Municipal Airport,Canada,51.26470184326172,-102.46199798583984
124,North Battleford Airport,Canada,52.76919937133789,-108.24400329589844
125,Gander International Airport,Canada,48.9369010925293,-54.56809997558594
126,Sydney / J.A. Douglas McCurdy Airport,Canada,46.1614,-60.047798
127,Quesnel Airport,Canada,53.026100158691406,-122.51000213623048
128,Resolute Bay Airport,Canada,74.7169036865,-94.9693984985
129,Rivire-du-Loup Airport,Canada,47.76440048217773,-69.58470153808594
130,Roberval Airport,Canada,48.52000045776367,-72.2656021118164
131,Rocky Mountain House Airport,Canada,52.4296989441,-114.903999329
132,Rankin Inlet Airport,Canada,62.8114013672,-92.1157989502
133,Sudbury Airport,Canada,46.625,-80.79889678955078
134,Sherbrooke Airport,Canada,45.4385986328125,-71.69139862060547
135,Saint John Airport,Canada,45.31610107421875,-65.89029693603516
136,Fort Smith Airport,Canada,60.020301818847656,-111.96199798583984
137,Nanisivik Airport,Canada,72.982201,-84.613602
138,Summerside Airport,Canada,46.44060134887695,-63.83359909057617
139,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Canada,71.9938964844,-125.242996216
140,Cape Dorset Airport,Canada,64.2300033569,-76.5267028809
141,Thompson Airport,Canada,55.80110168457031,-97.86419677734376
142,CFB Trenton,Canada,44.118900299072266,-77.5280990600586
143,Timmins/Victor M. Power,Canada,48.5696983337,-81.376701355
144,Billy Bishop Toronto City Centre Airport,Canada,43.627499,-79.396202
145,Tuktoyaktuk Airport,Canada,69.43329620361328,-133.0260009765625
146,Montreal / Pierre Elliott Trudeau International Airport,Canada,45.4706001282,-73.7407989502
147,Repulse Bay Airport,Canada,66.5214004517,-86.22470092770001
148,Hall Beach Airport,Canada,68.77610015869999,-81.2425
149,Rouyn Noranda Airport,Canada,48.20610046386719,-78.83560180664062
150,La Ronge Airport,Canada,55.1514015198,-105.262001038
151,Vermilion Airport,Canada,53.3558006287,-110.823997498
152,Qikiqtarjuaq Airport,Canada,67.5457992554,-64.03140258789999
153,Val-d'Or Airport,Canada,48.0532989502,-77.7827987671
154,Kuujjuaq Airport,Canada,58.096099853515625,-68.4269027709961
155,Norman Wells Airport,Canada,65.28160095214844,-126.7979965209961
156,Vancouver International Airport,Canada,49.193901062,-123.183998108
157,Buffalo Narrows Airport,Canada,55.8418998718,-108.417999268
158,Wiarton Airport,Canada,44.7458,-81.107201
159,Petawawa Airport,Canada,45.95220184326172,-77.31919860839844
160,Winnipeg / James Armstrong Richardson International Airport,Canada,49.9099998474,-97.2398986816
161,Wabush Airport,Canada,52.92190170288086,-66.8644027709961
162,Williams Lake Airport,Canada,52.1831016541,-122.054000854
163,Wrigley Airport,Canada,63.20940017700195,-123.43699645996094
164,Cranbrook/Canadian Rockies International Airport,Canada,49.610801696777,-115.78199768066
165,Edmonton City Centre (Blatchford Field) Airport,Canada,53.5724983215,-113.521003723
166,Saskatoon John G. Diefenbaker International Airport,Canada,52.17079925537109,-106.6999969482422
167,Medicine Hat Airport,Canada,50.01890182495117,-110.72100067138672
168,Fort St John Airport,Canada,56.23809814453125,-120.73999786376952
169,Sioux Lookout Airport,Canada,50.11389923095703,-91.9052963256836
170,Pangnirtung Airport,Canada,66.1449966431,-65.71360015869999
171,Earlton (Timiskaming Regional) Airport,Canada,47.6974006546,-79.8473453522
172,Prince George Airport,Canada,53.8894004822,-122.679000854
173,Northwest Regional Airport Terrace-Kitimat,Canada,54.468498,-128.576009
174,London Airport,Canada,43.035599,-81.1539
175,Abbotsford Airport,Canada,49.025299072265625,-122.36100006103516
176,Whitehorse / Erik Nielsen International Airport,Canada,60.7095985413,-135.067001343
177,North Bay Jack Garland Airport,Canada,46.363602,-79.422798
178,Calgary International Airport,Canada,51.113899231,-114.019996643
179,Smithers Airport,Canada,54.82469940185547,-127.18299865722656
180,Fort Nelson Airport,Canada,58.8363990784,-122.597000122
181,Penticton Airport,Canada,49.46310043334961,-119.60199737548828
182,Charlottetown Airport,Canada,46.290000915527344,-63.12110137939453
183,Taloyoak Airport,Canada,69.5466995239,-93.5766983032
184,Victoria International Airport,Canada,48.646900177,-123.426002502
185,Lynn Lake Airport,Canada,56.86389923095703,-101.07599639892578
186,Swift Current Airport,Canada,50.2919006348,-107.691001892
187,Churchill Airport,Canada,58.739200592041016,-94.06500244140624
188,Goose Bay Airport,Canada,53.3191986084,-60.4258003235
189,St. John's International Airport,Canada,47.618598938,-52.7518997192
190,Kapuskasing Airport,Canada,49.41389846801758,-82.46749877929688
191,Armstrong Airport,Canada,50.29029846191406,-88.90969848632812
192,Mont Joli Airport,Canada,48.60860061645508,-68.20809936523438
193,Lester B. Pearson International Airport,Canada,43.6772003174,-79.63059997559999
194,Downsview Airport,Canada,43.74250030517578,-79.4655990600586
195,Gore Bay Manitoulin Airport,Canada,45.88529968261719,-82.56780242919922
196,Yellowknife Airport,Canada,62.462799072265625,-114.44000244140624
197,Slave Lake Airport,Canada,55.2930984497,-114.777000427
198,Sandspit Airport,Canada,53.25429916379999,-131.813995361
199,Chris Hadfield Airport,Canada,42.9994010925293,-82.30889892578125
200,Port Hardy Airport,Canada,50.68059921264648,-127.36699676513672
201,Whitecourt Airport,Canada,54.14390182495117,-115.78700256347656
202,Sept-les Airport,Canada,50.22330093383789,-66.2656021118164
203,Teslin Airport,Canada,60.17279815673828,-132.7429962158203
